Name,Automatic placement performance (domain) report CSV
Type,Automatic placement (domain)
Frequency,One time
Date range,Last month
Dates,"May 1, 2015-May 31, 2015"
Account,Domain,Customer ID,Clicks,Impressions,Campaign,Special category
Physicians Rehabilitation,xfinity.com,544-411-0512,0,49,Remarketing, --
Physicians Rehabilitation,mobileapp::1-493972179,544-411-0512,0,25,Remarketing, --
Physicians Rehabilitation,ranker.com,544-411-0512,0,16,Remarketing, --
Physicians Rehabilitation,newsok.com,544-411-0512,0,84,Remarketing, --
Physicians Rehabilitation,recipegirl.com,544-411-0512,1,3,Remarketing, --
Physicians Rehabilitation,duffelblog.com,544-411-0512,0,5,Knee Remarketing, --
Physicians Rehabilitation,allfood.recipes,544-411-0512,1,4,Knee Remarketing, --
Physicians Rehabilitation,news-journalonline.com,544-411-0512,1,2,Knee Remarketing, --
Physicians Rehabilitation,salisburypost.com,544-411-0512,0,14,Knee Remarketing, --
Physicians Rehabilitation,wptz.com,544-411-0512,0,40,Remarketing, --
Physicians Rehabilitation,hereswhat.org,544-411-0512,1,1,Remarketing, --
Physicians Rehabilitation,naplesnews.com,544-411-0512,0,77,Remarketing, --
Physicians Rehabilitation,mobileapp::2-com.TipCalc,544-411-0512,0,6,Remarketing, --
Physicians Rehabilitation,checkthisyo.com,544-411-0512,0,9,Remarketing, --
Physicians Rehabilitation,weather.com,544-411-0512,0,208,Remarketing, --
Physicians Rehabilitation,yibada.com,544-411-0512,0,5,Remarketing, --
Physicians Rehabilitation,wittyfeed.com,544-411-0512,1,16,Knee Remarketing, --
Physicians Rehabilitation,insidercarnews.com,544-411-0512,1,13,Knee Remarketing, --
Physicians Rehabilitation,ancientfaces.com,544-411-0512,0,6,Knee Remarketing, --
Physicians Rehabilitation,miamiherald.com,544-411-0512,1,1,Knee Remarketing, --
Physicians Rehabilitation,diply.com,544-411-0512,2,15,Knee Remarketing, --
Physicians Rehabilitation,gq.com,544-411-0512,1,3,Knee Remarketing, --
Physicians Rehabilitation,playbuzz.com,544-411-0512,0,6,Knee Remarketing, --
Physicians Rehabilitation,number-2-pencil.com,544-411-0512,0,11,Remarketing, --
Physicians Rehabilitation,pressroomvip.com,544-411-0512,2,85,Remarketing, --
Physicians Rehabilitation,minion143.com,544-411-0512,0,7,Remarketing, --
Physicians Rehabilitation,oursportscentral.com,544-411-0512,0,5,Remarketing, --
Physicians Rehabilitation,list25.com,544-411-0512,0,10,Knee Remarketing, --
Physicians Rehabilitation,newser.com,544-411-0512,1,6,Knee Remarketing, --
Physicians Rehabilitation,wittyfeed.com,544-411-0512,0,52,Remarketing, --
Physicians Rehabilitation,odometer.com,544-411-0512,4,74,Remarketing, --
Physicians Rehabilitation,homes.com,544-411-0512,0,23,Remarketing, --
Physicians Rehabilitation,mytestbook.com,544-411-0512,0,31,Remarketing, --
Physicians Rehabilitation,thefederalistpapers.org,544-411-0512,1,6,Knee Remarketing, --
Physicians Rehabilitation,scout.com,544-411-0512,2,4,Knee Remarketing, --
Physicians Rehabilitation,bradenton.com,544-411-0512,4,191,Knee Remarketing, --
Physicians Rehabilitation,amotherfarfromhome.com,544-411-0512,0,5,Knee Remarketing, --
Physicians Rehabilitation,lifebuzz.com,544-411-0512,1,52,Knee Remarketing, --
Physicians Rehabilitation,newrepublic.com,544-411-0512,0,7,Knee Remarketing, --
Physicians Rehabilitation,anonymous.google,544-411-0512,1,596,Remarketing, --
Physicians Rehabilitation,realhousemoms.com,544-411-0512,0,6,Remarketing, --
Physicians Rehabilitation,brewerfan.net,544-411-0512,0,29,Remarketing, --
Physicians Rehabilitation,urbantabloid.com,544-411-0512,1,10,Remarketing, --
Physicians Rehabilitation,tattoos-ideas.net,544-411-0512,0,10,Remarketing, --
Physicians Rehabilitation,imperfecthomemaker.com,544-411-0512,0,7,Remarketing, --
Physicians Rehabilitation,9gag.com,544-411-0512,1,3,Remarketing, --
Physicians Rehabilitation,bizpacreview.com,544-411-0512,1,1,Remarketing, --
Physicians Rehabilitation,hotair.com,544-411-0512,0,5,Knee Remarketing, --
Physicians Rehabilitation,minq.com,544-411-0512,0,28,Knee Remarketing, --
Physicians Rehabilitation,likes.com,544-411-0512,0,6,Knee Remarketing, --
Physicians Rehabilitation,townhall.com,544-411-0512,0,11,Knee Remarketing, --
Physicians Rehabilitation,youbeauty.com,544-411-0512,0,5,Remarketing, --
